epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1130.86,1.14814,1.09594,0.68722,0.7134,0.82196,0.67627,0.52683,0.99802,1.70192,0.71496,0.00999974,0.00333325,0.00999974,0.00333325,0.00999974,0.00333325,0.00999974,0.00333325
2,2040.44,1.03479,0.68009,0.68423,0.74126,0.91082,0.73851,0.58528,0.87918,1.1391,0.7161,0.0199948,0.00666493,0.0199948,0.00666493,0.0199948,0.00666493,0.0199948,0.00666493
3,3174.05,0.99698,0.62965,0.69256,0.74757,0.90782,0.7497,0.57386,0.83841,0.93634,0.72428,0.0299701,0.00999005,0.0299701,0.00999005,0.0299701,0.00999005,0.0299701,0.00999005
4,4047.6,0.91917,0.59225,0.68957,0.75153,0.92685,0.74555,0.56802,0.79802,0.95648,0.72071,0.0299334,0.00997781,0.0299334,0.00997781,0.0299334,0.00997781,0.0299334,0.00997781
5,4914.91,1.15496,0.87976,0.73,0.60617,0.00868,0.01109,0.0057,1.34756,4.00858,0.66685,0.0298817,0.00996058,0.0298817,0.00996058,0.0298817,0.00996058,0.0298817,0.00996058
6,5773.89,1.71036,1.65258,0.89018,0.03267,0.02446,0.00648,0.003,0.70215,2.80342,0.79288,0.0298153,0.00993845,0.0298153,0.00993845,0.0298153,0.00993845,0.0298153,0.00993845
7,6632.74,2.14532,2.93855,1.90324,0.01334,0.01105,0.00193,0.00039,1.65015,7.4531,13.0492,0.0297343,0.00991145,0.0297343,0.00991145,0.0297343,0.00991145,0.0297343,0.00991145
8,7492.55,2.2626,4.17695,16.8151,0.00119,0.00316,3e-05,1e-05,2.15506,12.1407,92.2108,0.0296388,0.0098796,0.0296388,0.0098796,0.0296388,0.0098796,0.0296388,0.0098796
9,8355.91,2.36395,27.3413,116.699,0.0007,0.03179,7e-05,1e-05,2.48249,483.007,264.083,0.0295288,0.00984293,0.0295288,0.00984293,0.0295288,0.00984293,0.0295288,0.00984293
10,9216.8,2.41129,12.7034,130.694,0.01,0.02525,0.00094,0.00017,2.02044,75.3465,257.184,0.0294045,0.00980149,0.0294045,0.00980149,0.0294045,0.00980149,0.0294045,0.00980149
11,10067.8,1.83302,5.35916,136.546,0.00982,0.02198,0.00201,0.00039,1.98653,12.3155,287.782,0.0292659,0.00975531,0.0292659,0.00975531,0.0292659,0.00975531,0.0292659,0.00975531
12,10887.9,1.36675,4.71488,60.6862,0.00038,0.00169,0,0,0.19588,0.26944,5.53598,0.0291133,0.00970443,0.0291133,0.00970443,0.0291133,0.00970443,0.0291133,0.00970443
13,11667.2,0.46195,3.1549,19.7944,5e-05,0.00034,0,0,0.11847,0.16504,2.20335,0.0289468,0.00964892,0.0289468,0.00964892,0.0289468,0.00964892,0.0289468,0.00964892
14,12426.7,0.18689,0.59691,3.57749,0,0,0,0,0.08142,0.12468,0.82603,0.0287664,0.00958881,0.0287664,0.00958881,0.0287664,0.00958881,0.0287664,0.00958881
15,13191.6,0.19236,0.57867,3.59449,0,0,0,0,0.07744,0.13085,0.71284,0.0285725,0.00952418,0.0285725,0.00952418,0.0285725,0.00952418,0.0285725,0.00952418
16,13987.8,0.73235,8.34309,37.2456,0,0,0,0,0.10986,0.27587,1.68716,0.0283653,0.00945509,0.0283653,0.00945509,0.0283653,0.00945509,0.0283653,0.00945509
17,14777.8,0.81981,6.21166,38.5216,0,0,0,0,0.17177,0.60394,4.5513,0.0281448,0.0093816,0.0281448,0.0093816,0.0281448,0.0093816,0.0281448,0.0093816
18,15587.5,0.82541,5.3012,37.6052,0,0,0,0,0.30521,1.23678,14.2045,0.0279113,0.00930378,0.0279113,0.00930378,0.0279113,0.00930378,0.0279113,0.00930378
19,16374.2,0.36556,3.64487,13.0373,0,0,0,0,0.83842,3.48619,59.8188,0.0276652,0.00922172,0.0276652,0.00922172,0.0276652,0.00922172,0.0276652,0.00922172
20,17139.2,0.07213,3.18319,0.14501,0.00021,0.02638,1e-05,0,0.76451,6.88741,44.1078,0.0274065,0.00913549,0.0274065,0.00913549,0.0274065,0.00913549,0.0274065,0.00913549
21,17899.7,0.07266,3.05421,0.13983,0.00032,0.04318,2e-05,0,0.75899,10.8247,40.6922,0.0271355,0.00904518,0.0271355,0.00904518,0.0271355,0.00904518,0.0271355,0.00904518
22,18660.7,0.07215,2.94691,0.13525,0.00031,0.04262,2e-05,0,0.76553,13.5578,37.614,0.0268526,0.00895088,0.0268526,0.00895088,0.0268526,0.00895088,0.0268526,0.00895088
